,Origen,Destino,Tipo,Distancia
504,Aparcamiento para residentes. Pablo Iglesias II,237 - Pablo Iglesias,Publicos Municipales,313.6132214512081
505,Aparcamiento para residentes. Pablo Iglesias II,237 - Pablo Iglesias,Residentes,313.6132214512081
506,Aparcamiento para residentes. Pan y Toros,213 - Glorieta de Cádiz,Publicos Municipales,3237.2689442846927
507,Aparcamiento para residentes. Pan y Toros,213 - Glorieta de Cádiz,Residentes,3237.2689442846927
508,Aparcamiento para residentes. Panamá,157 - Castellana 164,Publicos Municipales,215.6369045835052
509,Aparcamiento para residentes. Panamá,157 - Castellana 164,Residentes,215.6369045835052
510,Aparcamiento para residentes. Parque de Santa María,230 - Carlota O’Neill,Publicos Municipales,3848.7150245697926
511,Aparcamiento para residentes. Parque de Santa María,230 - Carlota O’Neill,Residentes,3848.7150245697926
512,Aparcamiento para residentes. Paseo de Pintor Rosales I,113 - Pintor Rosales,Publicos Municipales,54.4926832539492
513,Aparcamiento para residentes. Paseo de Pintor Rosales I,113 - Pintor Rosales,Residentes,54.4926832539492
514,Aparcamiento para residentes. Paseo de Pintor Rosales II,112 - Paseo de Moret,Publicos Municipales,322.3005001217042
515,Aparcamiento para residentes. Paseo de Pintor Rosales II,112 - Paseo de Moret,Residentes,322.3005001217042
516,Aparcamiento para residentes. Paseo de Pintor Rosales III,113 - Pintor Rosales,Publicos Municipales,133.46744983678076
517,Aparcamiento para residentes. Paseo de Pintor Rosales III,113 - Pintor Rosales,Residentes,133.46744983678076
518,Aparcamiento para residentes. Pedro Yagüe,228 - San Delfín,Publicos Municipales,188.9989025718041
519,Aparcamiento para residentes. Pedro Yagüe,228 - San Delfín,Residentes,188.9989025718041
520,Aparcamiento para residentes. Peñuelas,163 - Paseo de la Esperanza,Publicos Municipales,167.94512737989612
521,Aparcamiento para residentes. Peñuelas,163 - Paseo de la Esperanza,Residentes,167.94512737989612
522,Aparcamiento para residentes. Pérez Pillado,202 - Parque Santander,Publicos Municipales,210.19954022976657
523,Aparcamiento para residentes. Pérez Pillado,202 - Parque Santander,Residentes,210.19954022976657
524,Aparcamiento para residentes. Pez Volador,72 - Sainz de Baranda,Publicos Municipales,472.3910282663048
